Bet ID,User,Date,Sport,League,Teams,Bet Type,Selection,Odds,Amount,Potential Win,Status,Result
N/A,Unknown,2025-07-19 19:06:45,,MLB,N/A @ N/A,game_line,N/A,150.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-19 18:46:02,,MLB,N/A @ N/A,game_line,N/A,-120.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-18 21:19:10,,MLB,N/A @ N/A,game_line,N/A,-120.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-18 21:16:49,,MLB,N/A @ N/A,game_line,N/A,-110.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-18 21:10:21,,MLB,N/A @ N/A,game_line,N/A,-145.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-16 20:51:54,,WNBA,N/A @ N/A,game_line,N/A,-145.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-16 20:45:28,,WNBA,N/A @ N/A,game_line,N/A,-140.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-13 17:11:08,,MLB,N/A @ N/A,game_line,N/A,-145.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-13 17:02:59,,MLB,N/A @ N/A,game_line,N/A,-130.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-12 21:36:31,,MLB,N/A @ N/A,game_line,N/A,-130.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-12 21:32:42,,MLB,N/A @ N/A,game_line,N/A,-115.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-11 21:01:23,,MLB,N/A @ N/A,game_line,N/A,-185.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-11 20:59:20,,MLB,N/A @ N/A,game_line,N/A,100.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-11 01:17:14,,MLB,N/A @ N/A,game_line,N/A,-115.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-10 21:43:56,,MLB,N/A @ N/A,game_line,N/A,-140.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-10 19:06:40,,MLB,N/A @ N/A,game_line,N/A,113.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-09 21:06:14,,MLB,N/A @ N/A,game_line,N/A,-110.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-09 21:03:44,,MLB,N/A @ N/A,game_line,N/A,-110.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-08 22:53:53,,MLB,N/A @ N/A,game_line,N/A,-130.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-08 21:39:28,,MLB,N/A @ N/A,game_line,N/A,-110.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-08 00:51:46,,MLB,N/A @ N/A,game_line,N/A,-150.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-07 19:50:57,,MLB,N/A @ N/A,game_line,N/A,-120.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-07 19:42:43,,MLB,N/A @ N/A,game_line,N/A,-120.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-07 00:25:30,,MLB,N/A @ N/A,game_line,N/A,-135.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-06 19:43:40,,MLB,N/A @ N/A,game_line,N/A,-125.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-06 19:40:58,,MLB,N/A @ N/A,game_line,N/A,-140.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-07-06 16:26:08,,MLB,N/A @ N/A,game_line,N/A,-145.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-06 16:15:15,,MLB,N/A @ N/A,game_line,N/A,105.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-05 20:43:53,,MLB,N/A @ N/A,game_line,N/A,-120.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-05 20:39:14,,MLB,N/A @ N/A,game_line,N/A,-154.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-02 21:34:33,,MLB,N/A @ N/A,game_line,N/A,-110.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-02 21:31:43,,MLB,N/A @ N/A,game_line,N/A,-144.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-01 22:05:48,,MLB,N/A @ N/A,game_line,N/A,-155.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-07-01 22:03:52,,MLB,N/A @ N/A,game_line,N/A,-120.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-06-30 22:03:45,,MLB,N/A @ N/A,game_line,N/A,100.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-06-30 22:01:04,,MLB,N/A @ N/A,game_line,N/A,100.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-06-28 21:57:14,,MLB,N/A @ N/A,game_line,N/A,-150.00,$0.00,$0.00,Lost,N/A
N/A,Unknown,2025-06-28 21:54:28,,MLB,N/A @ N/A,game_line,N/A,-155.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-06-28 02:17:41,,MLB,N/A @ N/A,game_line,N/A,-110.00,$0.00,$0.00,Won,N/A
N/A,Unknown,2025-06-28 00:58:23,,MLB,N/A @ N/A,game_line,N/A,-140.00,$0.00,$0.00,Won,N/A
